Date,Open,High,Low,Close,Volume,- SPREAD -
09-12-2021,75080.00,75339.20,74150.00,74644.20,285,"1,189.20"
08-12-2021,73800.00,75199.00,73800.00,74664.60,282,"1,399.00"
07-12-2021,73300.05,73882.00,73300.05,73593.35,218,581.95
08-06-2022,72230.30,72249.50,70269.70,70566.40,423,"1,979.80"
06-12-2021,73801.00,74056.20,73000.00,73260.75,483,"1,056.20"
03-12-2021,74237.45,74700.00,73772.25,73938.65,531,927.75
02-12-2021,74299.00,74299.00,73250.00,73895.80,603,"1,049.00"
01-12-2021,75000.10,75323.15,73550.00,73785.55,508,"1,773.15"
30-11-2021,73690.00,75999.80,73690.00,75015.65,501,"2,309.80"
29-11-2021,75100.00,75100.00,73111.00,73802.35,332,"1,989.00"
26-11-2021,75830.00,75830.00,74555.05,75171.10,517,"1,274.95"
25-11-2021,76599.00,76646.40,75265.65,75658.45,361,"1,380.75"
24-11-2021,76790.00,77448.95,76089.00,76464.90,304,"1,359.95"
23-11-2021,75949.00,76789.55,75075.20,76468.80,1220,"1,714.35"
07-06-2022,74499.95,74499.95,71400.00,71619.40,539,"3,099.95"
22-11-2021,77600.00,77989.95,75040.10,75664.30,973,"2,949.85"
18-11-2021,79500.00,79998.50,77310.00,77532.75,394,"2,688.50"
17-11-2021,78850.00,79450.00,78594.55,79340.90,622,855.45
16-11-2021,78863.95,79448.15,78190.80,78459.20,312,"1,257.35"
15-11-2021,78700.00,78879.65,77711.95,78458.25,797,"1,167.70"
12-11-2021,77725.00,78299.95,77300.00,78194.05,290,999.95
11-11-2021,78800.00,78800.00,76905.00,77201.25,982,"1,895.00"
10-11-2021,78824.95,78943.85,78000.00,78218.40,365,943.85
09-11-2021,80150.00,80439.80,78050.00,78519.65,579,"2,389.80"
08-11-2021,78859.05,80200.00,78568.10,79855.20,236,"1,631.90"
06-06-2022,76465.00,76650.00,74556.80,74738.15,255,"2,093.20"
04-11-2021,78340.00,78673.40,78151.10,78400.90,97,522.30
03-11-2021,78874.10,78981.75,77815.00,78070.15,362,"1,166.75"
02-11-2021,78799.00,79277.60,78350.10,78590.40,151,927.50
01-11-2021,78203.50,78943.50,77235.90,78680.65,582,"1,707.60"
29-10-2021,77653.60,78449.90,76640.20,77353.85,509,"1,809.70"
28-10-2021,79499.95,79692.00,77300.00,77653.60,1012,"2,392.00"
27-10-2021,80400.00,80583.50,79200.00,79453.95,297,"1,383.50"
26-10-2021,79310.00,80485.10,79310.00,80055.30,219,"1,175.10"
25-10-2021,81638.50,81638.50,79225.45,79374.00,608,"2,413.05"
22-10-2021,81299.10,82210.20,80190.00,80676.65,471,"2,020.20"
03-06-2022,76349.95,76872.90,76118.30,76510.15,261,754.60
21-10-2021,83356.00,83356.00,80946.05,81100.50,1179,"2,409.95"
20-10-2021,83237.50,83749.00,81001.00,82527.55,2675,"2,748.00"
19-10-2021,84300.00,85097.95,82634.05,83078.10,363,"2,463.90"
18-10-2021,85500.00,86850.00,84000.00,84288.25,2771,"2,850.00"
14-10-2021,86250.00,86859.50,84964.75,85173.50,621,"1,894.75"
13-10-2021,85850.00,86700.00,85403.95,86120.85,889,"1,296.05"
12-10-2021,85600.00,86178.00,84461.35,85635.15,399,"1,716.65"
11-10-2021,86250.00,87579.85,84757.25,84892.20,2737,"2,822.60"
08-10-2021,81409.50,86244.25,81409.50,85793.45,1534,"4,834.75"
07-10-2021,79100.00,81400.00,78895.40,81192.75,2098,"2,504.60"
02-06-2022,76800.00,76800.00,75000.00,75866.60,236,"1,800.00"
06-10-2021,79761.40,79850.00,78525.05,78715.95,584,"1,324.95"
05-10-2021,79950.00,80050.00,79205.15,79415.50,209,844.85
04-10-2021,79110.00,80519.95,79048.60,79779.90,737,"1,471.35"
01-10-2021,79009.00,79336.30,78507.60,79191.35,1369,828.70
